Unnamed: 0;species;species_nl;1 Zenne;2 Molenbeek a;2 Molenbeek b;4 Kesterbeek a;4 Kesterbeek b
1;Abramis brama;Brasem;0.005224;0.054933;0.067214;0.000000;0.000000
2;Perca fluviatilis;Baars;0.000456;0.061307;0.062469;0.000000;0.000000
3;Squalius cephalus;Kopvoorn;0.033000;0.115390;0.061135;0.064479;0.056252
4;Cyprinus carpio;Karper;0.007841;0.051812;0.034763;0.120200;0.085542
5;Carassius unclassified;Goudvis (ongespecificeerd);0.003160;0.065486;0.067282;0.000000;0.000000
6;Pseudorasbora parva;Blauwbandgrondel;0.003855;0.000000;0.000000;0.168133;0.148981
7;Neogobius melanostomus;Zwartbekgrondel;0.030912;0.058115;0.058533;0.000000;0.000000
8;Alburnus sp.;Alver;0.000803;0.040226;0.050982;0.042518;0.058867
9;Pungitius pungitius;Tiendoornige stekelbaars;0.000004;0.002516;0.000000;0.109822;0.030591
10;Tinca tinca;Zeelt;0.000750;0.000000;0.039025;0.000000;0.000000
11;Rhodeus amarus;Bittervoorn;0.006443;0.017797;0.103498;0.000000;0.000000
12;Barbatula barbatula;Barbeel;0.005831;0.022387;0.022233;0.127185;0.197774
13;Cottus perifretum;Beekdonderpad;0.000562;0.016931;0.055574;0.000000;0.000000
14;Rutilus rutilus;Blankvoorn;0.027571;0.089591;0.038026;0.125397;0.157070
15;Esox lucius;Snoek;0.000101;0.022382;0.051232;0.000000;0.000000
16;Barbus barbus;Barbeel;0.001072;0.000000;0.000000;0.000000;0.000000
17;Anguilla anguilla;Paling;0.019665;0.055661;0.056603;0.000000;0.000000
18;Gasterosteus aculeatus;Driedoornige stekelbaars;0.064858;0.061186;0.020935;0.150926;0.156853
19;Leuciscus leuciscus;Serpeling;0.000004;0.015199;0.081597;0.000000;0.000000
20;Gymnocephalus cernua;Pos;0.000000;0.031643;0.031847;0.000000;0.000000
21;Scardinius erythrophthalmus;Rietvoorn;0.000066;0.049373;0.045019;0.005607;0.000000
22;Gobio gobio;Riviergrondel;0.787824;0.168066;0.052033;0.085733;0.108070
